General Band Information,,,
Can anybody join the band? What are auditions for?,"Any student eligible to attend Lafayette High School can join the band! Band is an elective class available to all students, though prior experience playing a band instrument is recommended. Any student who enrolls in band class is automatically a member of the marching band, and participation in the marching band is a component of all band classes. Students who play a school-sponsored Fall sport can request an exemption from this requirement.
There are three concert bands at LHS (Wind Symphony, Symphonic Band, and Concert Band) that meet during the school day as individual classes. An audition process occurs each spring to place students (for the following Fall) in the concert band most appropriate to their skill and experience level. Members of all three concert bands come together in the marching band.
Additionally, students in 8th grade who are districted to attend Lafayette HS can join the band as an extracurricular activity.",,
What are/Who are drum majors? ... Section leaders? How are they selected?,"Drum majors are the conductors of the marching band, and serve as performance and musical leaders for the entire band. Section leaders are experienced band members selected to lead the individual sections of the band. Each year there are 3-4 drum majors selected from the whole band and 1-4 section leaders for each section.
Selection as either a drum major or section leader is a significant honor, as selection is competitive based on auditions and interviews. Drum major training, auditions, and interviews are open to any interested band member and occur in the spring. The band directors select drum majors for the following year. Further interviews (open to any interested band member) are used by the band directors and drum majors to select section leaders.",,
What is the Color Guard? Are they part of the band? Where can I get more info?,"The Color Guard is a non-instrumental section of the marching band that performs on the field as part of the band. Traditionally they perform with flags, rifles, and sabers, and perform dance- and acrobatics-based moves. The Color Guard is a critical part of the band, and is open to any interested student in MS or HS. During the non-marching season, the Color Guard competes in ""Winter Guard"" competitions. Instrumentalists enrolled in band class can join the Color Guard instead of marching with their instrument, but you do not have to be in band class or play an instrument to join the Color Guard! Ms. Emily Banks is *TITLE HERE*, and *NAME* and *NAME* are the Color Guard student captains for 2023-2024.",Color Guard do not have to play an instrument or be in band class. ,
"What is the Drum Line? ... the ""pit""? Where can I get more info?","The percussion section plays both marching instruments (snares, quints, bass drums) and non-marching instruments that are usually located on the front sideline (marimbas, xylophones, chimes, cymbals, timpani, synthesizers, drum kits, etc.). The ""drum line"" is the set of band members who play marching instruments, while the ""pit"" or ""front ensemble"" is the set of band members who play non-marching instruments. At times, non-percussion non-marching instrumentalists (guitars, oboes, etc.) perform as part of the pit/front ensemble. While all percussion players in the band are members of the percussion section and perform with the marching band, selection to the drum line specifically is highly competitive.",Some people refer to pit as front ensemble,
"What are the Wind Symphony, Symphonic Band, Concert Band, Jazz Band, and Jazz Ensemble?","Students enrolled in band class are placed into one of three different concert bands, which meet during the school day as three different classes. Students with the most experience and technical skill are placed in the Wind Symphony, while most beginning students are placed in the Concert Band.
Jazz Band and Jazz Ensemble are additional elective classes for students interested in Jazz performance. The most experienced and skilled students are placed into Jazz Ensemble.
Every student who enrolls in band class (Jazz band class) is guaranteed placement into one of the three bands (Jazz Band or Jazz Ensemble). Auditions for placement into these groups occur in the Spring, and all middle school band directors are provided detailed information on how students at their schools (if attending LHS) can audition.",,
How do you get into the [insert band/ensemble]?),Ensemble placement is decided by auditions that occur during the spring before the next school year begins. Students are assigned to a band/ensemble based on skill level and experience by the band directors.,You choose to schedule an ensemble class when you make you class schedule,
Who are the band staff and what do they do?,Robert Dee Bishop is the Director of Bands and Dr. Chris Strange and Mr. Aaron Jones are the Associate Directors. Emily Banks is in charge of the Color Guard.  There are other band staff that assist with marching and sectional instruction throughout the year.,,
What are the sections in the band?,"Sections are groups of players with common/similar instruments. The Lafayette Band sections are: Flutes, Clarinets, Low Reeds, Alto Sax, Trumpets, Mellophones, Trombones+Baritones, Tubas, Percussion, and Color Guard. Each section has one or more section leaders. During marching season, these groups will both have full band and section specific rehearsals (sectionals, which are usually one evening a week). During the winter concert season, sections perform as ""chamber"" groups which meet weekly in the evening.",,
Where does the marching show music come from?,"The directors choose selections from a wide range of musical literature to use as source music. This is sent to professional band composers to combine into a unique musical setting. The marching forms, also called drill, (the patterns and shapes formed by the band, and the paths by which individual band members move to form these shapes) are also created by professionals to match and augment the full musical setting. The LBA provides funds each year to cover the costs of this work. While it is possible to use music and marching composed for other bands in previous years, top bands, including the Lafayette Marching Band, commision new and unique music and marching tailored to their available instruments and marchers every year.",,
"What is a ""movement"" in the marching show?","The full marching show is about 10 minutes long (see questions in ""Band Performances/Competitions for details on rules/judging, incluing details of timing), and generally consists of ~3 identifiable sections. Often the show is learned section-by-section, but otherwise these ""movements"" are just like movements in an orchestral work--parts of the whole.",,
